DialPlanName,Name,Prefix,Tag
cattolica,PSTN,*,PSTN
cattolica,+39022773004,+39022773004,S4B
cattolica,+39022773090,+39022773090,S4B
cattolica,+39022773201,+39022773201,S4B
cattolica,+39022773202,+39022773202,S4B
cattolica,+39022773203,+39022773203,S4B
cattolica,+39022773204,+39022773204,S4B
cattolica,+39022773206,+39022773206,S4B
cattolica,+39022773207,+39022773207,S4B
cattolica,+39022773209,+39022773209,S4B
cattolica,+39022773210,+39022773210,S4B
cattolica,+39022773211,+39022773211,S4B
cattolica,+39022773212,+39022773212,S4B
cattolica,+39022773213,+39022773213,S4B
cattolica,+39022773214,+39022773214,S4B
cattolica,+39022773215,+39022773215,S4B
cattolica,+39022773217,+39022773217,S4B
cattolica,+39022773218,+39022773218,S4B
cattolica,+39022773219,+39022773219,S4B
cattolica,+39022773220,+39022773220,S4B
cattolica,+39022773221,+39022773221,S4B
cattolica,+39022773222,+39022773222,S4B
cattolica,+39022773223,+39022773223,S4B
cattolica,+39022773224,+39022773224,S4B
cattolica,+39022773226,+39022773226,S4B
cattolica,+39022773227,+39022773227,S4B
cattolica,+39022773228,+39022773228,S4B
cattolica,+39022773229,+39022773229,S4B
cattolica,+39022773230,+39022773230,S4B
cattolica,+39022773231,+39022773231,S4B
cattolica,+39022773232,+39022773232,S4B
cattolica,+39022773233,+39022773233,S4B
cattolica,+39022773234,+39022773234,S4B
cattolica,+39022773235,+39022773235,S4B
cattolica,+39022773236,+39022773236,S4B
cattolica,+39022773237,+39022773237,S4B
cattolica,+39022773239,+39022773239,S4B
cattolica,+39022773240,+39022773240,S4B
cattolica,+39022773241,+39022773241,S4B
cattolica,+39022773242,+39022773242,S4B
cattolica,+39022773243,+39022773243,S4B
cattolica,+39022773244,+39022773244,S4B
cattolica,+39022773245,+39022773245,S4B
cattolica,+39022773247,+39022773247,S4B
cattolica,+39022773248,+39022773248,S4B
cattolica,+39022773249,+39022773249,S4B
cattolica,+39022773250,+39022773250,S4B
cattolica,+39022773251,+39022773251,S4B
cattolica,+39022773253,+39022773253,S4B
cattolica,+39022773254,+39022773254,S4B
